Date, Close/Last, Volume, Open, High, Low
09/06/2019, $77.26, 839880, $79.1, $79.35, $76.89
09/05/2019, $78.6, 1131038, $83.79, $84.26, $77.79
09/04/2019, $82.89, 1176343, $78.99, $82.95, $78.52
09/03/2019, $77.54, 971633, $80.94, $81.9, $77.44
08/30/2019, $81.92, 457230, $83.96, $84.3, $80.31
08/29/2019, $83.36, 898168, $83.7, $84.81, $80.55
08/28/2019, $82.64, 382670, $81.83, $83.62, $81.21
08/27/2019, $81.84, 543193, $82.98, $84.02, $81.41
08/26/2019, $82.38, 637931, $81.88, $83.86, $80.0399
08/23/2019, $80.9, 937360, $81.65, $82.62, $78.79
08/22/2019, $82.04, 2275412, $81.85, $82.8, $79.32
08/21/2019, $87.85, 1350831, $86.34, $88.96, $85.49
08/20/2019, $84.71, 669848, $84.49, $85.26, $83.01
08/19/2019, $84.12, 753722, $85, $85.6, $83.15
08/16/2019, $83.8, 1060700, $82.25, $84.35, $81.61
08/15/2019, $82.08, 1489360, $84.3, $84.4399, $78.81
08/14/2019, $84.69, 1325721, $87.03, $87.7, $84.67
08/13/2019, $87.78, 1482104, $86.83, $89.43, $86.1245
08/12/2019, $86.63, 2207518, $81.11, $88.24, $81.11
08/09/2019, $82.33, 1535576, $79.17, $84.61, $79.03
08/08/2019, $80.82, 1478145, $78.65, $81.12, $76.2
08/07/2019, $80.3, 5565680, $75.99, $81, $74.86
08/06/2019, $64.18, 1211363, $63.56, $65.83, $62.37
08/05/2019, $62.91, 1169611, $64.11, $64.4999, $60.93
08/02/2019, $64.98, 845507, $66.72, $66.8, $64.09
08/01/2019, $66.49, 1218209, $66.59, $69, $65.8
07/31/2019, $65.23, 1459483, $65.17, $67.19, $63.4917
07/30/2019, $63.4, 332722, $63.8, $64.21, $63.06
07/29/2019, $64.33, 438681, $63.51, $64.54, $63.01
07/26/2019, $63.26, 193007, $63.61, $63.79, $63.03
07/25/2019, $63.08, 411082, $62.49, $63.77, $61.86
07/24/2019, $62.5, 376592, $62.54, $62.78, $61.555
07/23/2019, $62.45, 328675, $63.7, $63.73, $61.4938
07/22/2019, $63.06, 473175, $63.48, $64.19, $62.3363
07/19/2019, $63.37, 383314, $63, $63.83, $62.79
07/18/2019, $62.64, 521840, $62, $63, $61.9
07/17/2019, $62.36, 285368, $61.5, $62.5, $61.05
07/16/2019, $61.4, 203985, $61.65, $61.705, $60.65
07/15/2019, $61.83, 332796, $62.23, $62.3999, $60.22
07/12/2019, $62.12, 417515, $61.48, $62.54, $61.275
07/11/2019, $60.76, 520149, $62.3, $62.72, $59.8445
07/10/2019, $62.29, 335745, $62.79, $63.42, $62.05
07/09/2019, $62.27, 298491, $61.86, $62.98, $61.665
07/08/2019, $62.53, 345924, $63.04, $63.1, $61.23
07/05/2019, $63.15, 251722, $62.03, $63.2, $62.025
07/03/2019, $62.3, 167966, $62.7, $63.32, $62.28
07/02/2019, $62.84, 284934, $62.47, $63.25, $61.36
07/01/2019, $62.3, 656390, $63.22, $64.21, $61.97
06/28/2019, $62.46, 648991, $60.72, $62.7, $60.72
06/27/2019, $61.06, 733187, $59.7, $61.645, $59.57
06/26/2019, $59.62, 587416, $60.91, $61.89, $59.49
06/25/2019, $59.22, 660461, $60.3, $60.94, $58.84
06/24/2019, $60.54, 853061, $60.02, $61.66, $60.01
06/21/2019, $59.4, 530956, $59.53, $59.73, $58.15
06/20/2019, $59.68, 498859, $60, $60.67, $58.89
06/19/2019, $59.2, 630473, $59.04, $59.53, $57.38
06/18/2019, $58.56, 1305249, $58.19, $60.96, $57.7125
06/17/2019, $56.59, 256214, $56.44, $57.15, $55.69
06/14/2019, $56.49, 559517, $57.75, $58.1695, $55.795
06/13/2019, $57.88, 668415, $55.08, $57.975, $55.08
06/12/2019, $54.82, 443565, $56.9, $56.99, $54.57
06/11/2019, $57, 356216, $57.05, $57.46, $56.01
06/10/2019, $56.83, 364765, $56.45, $57.88, $56.45
06/07/2019, $56.32, 339851, $55.9, $57.1363, $55.49
06/06/2019, $56.01, 544932, $55.03, $56.5, $54.75
06/05/2019, $55.16, 425722, $54.83, $55.245, $54.33
06/04/2019, $54.65, 307884, $53.58, $54.94, $53.45
06/03/2019, $53.26, 578585, $53.29, $53.65, $52.03
05/31/2019, $53.58, 529673, $54.07, $54.455, $53.13
05/30/2019, $54.63, 298740, $53.99, $55.3, $53.95
05/29/2019, $53.79, 344583, $54.92, $54.94, $53.37
05/28/2019, $55.38, 447901, $54.16, $55.53, $53.8301
05/24/2019, $53.61, 348060, $53.51, $54.26, $53.1
05/23/2019, $53.47, 475253, $54.37, $54.955, $53
05/22/2019, $54.96, 289834, $54.5, $55.5766, $54.3201
05/21/2019, $54.8, 400866, $55.22, $55.5, $54.25
05/20/2019, $54.7, 727374, $55.28, $55.93, $54.235
05/17/2019, $55.59, 1064720, $54.74, $56.95, $54.52
05/16/2019, $55.3, 983770, $52.5, $55.82, $52.4
05/15/2019, $52.38, 837352, $50.8, $52.85, $50.64
05/14/2019, $50.94, 751230, $50.32, $51.4, $50.25
05/13/2019, $50, 793225, $51.5, $52, $49.58
05/10/2019, $53.01, 972441, $51.19, $53.41, $50.96
05/09/2019, $51.49, 936323, $51.46, $51.75, $50.55
05/08/2019, $51.85, 1623288, $53.4, $53.8, $51.26
05/07/2019, $53.84, 6018090, $50.46, $54.5, $50.2444
05/06/2019, $43.88, 832595, $43.74, $44.2, $43.1
05/03/2019, $44.56, 507830, $44.27, $44.97, $44.15
05/02/2019, $43.76, 591895, $44, $44.2101, $43.35
05/01/2019, $44.14, 1157237, $44.9, $45.94, $44.12
04/30/2019, $44.3, 486712, $44.38, $45.1511, $43.67
04/29/2019, $45.19, 560138, $46, $46.06, $45.03
04/26/2019, $45.97, 308911, $45.78, $46.25, $44.74
04/25/2019, $45.92, 409959, $45.01, $46.72, $45.01
04/24/2019, $44.79, 450502, $44.59, $45.6, $44.36
04/23/2019, $44.31, 568393, $43.4, $44.79, $43.2222
04/22/2019, $43.2, 200376, $42.86, $43.25, $42.7375
04/18/2019, $43.04, 560394, $43.38, $43.66, $42.95
04/17/2019, $43.08, 645193, $42.99, $43.88, $42.7233
04/16/2019, $42.54, 275358, $41.74, $42.77, $41.49
04/15/2019, $41.43, 396583, $41.1, $41.85, $40.555
04/12/2019, $40.99, 322849, $40.66, $41.33, $40.545
04/11/2019, $40.62, 265088, $41.5, $41.8183, $40.46
04/10/2019, $41.27, 421663, $40.89, $41.35, $40.57
04/09/2019, $40.65, 360977, $41.21, $41.83, $40.56
04/08/2019, $41.44, 386896, $40.63, $41.45, $40.4043
04/05/2019, $40.72, 428040, $40.35, $41.02, $40.079
04/04/2019, $40.11, 594517, $38.69, $40.12, $38.68
04/03/2019, $38.66, 460121, $38.44, $39.03, $38.285
04/02/2019, $38.2, 610244, $37.97, $38.69, $37.6
04/01/2019, $37.85, 466858, $38.2, $38.4146, $37.79
03/29/2019, $37.68, 521559, $37.78, $38.37, $37.5
03/28/2019, $37.76, 780976, $36.79, $37.76, $36.295
03/27/2019, $36.79, 384228, $36.83, $37.02, $36.28
