Date, Close/Last, Volume, Open, High, Low
04/12/2019, $7.59, 1203258, $7.79, $7.79, $7.575
04/11/2019, $7.72, 1684166, $7.76, $7.82, $7.58
04/10/2019, $7.8, 2122549, $7.52, $7.918, $7.5
04/09/2019, $7.47, 1260107, $7.6, $7.67, $7.44
04/08/2019, $7.62, 2186237, $7.34, $7.67, $7.2933
04/05/2019, $7.4, 1921780, $7.31, $7.45, $7.28
04/04/2019, $7.3, 1990744, $7.22, $7.43, $7.19
04/03/2019, $7.24, 3074747, $6.91, $7.43, $6.91
04/02/2019, $6.9, 1663203, $6.76, $6.97, $6.69
04/01/2019, $6.77, 1838420, $6.55, $6.79, $6.52
03/29/2019, $6.51, 1670870, $6.49, $6.62, $6.47
03/28/2019, $6.44, 1586464, $6.32, $6.49, $6.26
03/27/2019, $6.25, 1134869, $6.21, $6.32, $6.135
